Fecha del hecho,Dia de la Semana,Hora del hecho (HH:MM),Genero,Comuna,Modalidad,Arma/medio,Móvil agresor,Móvil víctima,Edad,Descripcion Conducta
2014-01-02T00:00:00.000,jueves,1899-12-31T10:00:00.000,Femenino,3,Engaño,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-02T00:00:00.000,jueves,1899-12-31T10:30:00.000,Femenino,4,Raponazo,Sin empleo de arma,Motocicleta,A pie,Sin dato,Hurto a Personas
2014-01-02T00:00:00.000,jueves,1899-12-31T19:15:00.000,Femenino,9,Violación cerraduras,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-02T00:00:00.000,jueves,1899-12-31T00:00:00.000,Femenino,8,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-02T00:00:00.000,jueves,1899-12-31T00:00:00.000,Masculino,3,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-02T00:00:00.000,jueves,1899-12-31T07:30:00.000,Sin dato,6,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a comercio
2014-01-03T00:00:00.000,viernes,1899-12-31T20:20:00.000,Femenino,4,Raponazo,Sin empleo de arma,Motocicleta,A pie,Sin dato,Hurto a Personas
2014-01-03T00:00:00.000,viernes,1899-12-31T09:00:00.000,Femenino,2,Violación cerraduras,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-03T00:00:00.000,viernes,1899-12-31T16:02:00.000,Masculino,4,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-03T00:00:00.000,viernes,1899-12-31T06:00:00.000,Masculino,7,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-03T00:00:00.000,viernes,1899-12-31T18:25:00.000,Sin dato,4,Mechero,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a comercio
2014-01-03T00:00:00.000,viernes,1899-12-31T19:10:00.000,Sin dato,4,Factor de oportunidad,Sin empleo de arma,A pie,Sin dato,Sin dato,Hurto a comercio
2014-01-04T00:00:00.000,sábado,1899-12-31T08:30:00.000,Femenino,5,Halado,Llave maestra,A pie,Motocicleta,Sin dato,Hurto de motos
2014-01-04T00:00:00.000,sábado,1899-12-31T11:55:00.000,Femenino,5,Atraco,Arma blanca,Motocicleta,A pie,Sin dato,Hurto a Personas
2014-01-04T00:00:00.000,sábado,1899-12-31T07:30:00.000,Femenino,5,Atraco,Arma de fuego,Motocicleta,A pie,Sin dato,Hurto a Personas
2014-01-04T00:00:00.000,sábado,1899-12-31T19:30:00.000,Masculino,4,Halado,Llave maestra,A pie,Motocicleta,Sin dato,Hurto de motos
2014-01-04T00:00:00.000,sábado,1899-12-31T23:55:00.000,Masculino,2,Halado,Llave maestra,A pie,Motocicleta,Sin dato,Hurto de motos
2014-01-04T00:00:00.000,sábado,1899-12-31T15:00:00.000,Masculino,1,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-04T00:00:00.000,sábado,1899-12-31T11:40:00.000,Masculino,10,Atraco,Arma de fuego,Motocicleta,Motocicleta,Sin dato,Hurto a Personas
2014-01-05T00:00:00.000,domingo,1899-12-31T19:30:00.000,Masculino,4,Raponazo,Sin empleo de arma,Motocicleta,A pie,Sin dato,Hurto a Personas
2014-01-05T00:00:00.000,domingo,1899-12-31T11:00:00.000,Masculino,1,Llave maestra,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-05T00:00:00.000,domingo,1899-12-31T11:00:00.000,Masculino,1,Llave maestra,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-05T00:00:00.000,domingo,1899-12-31T00:00:00.000,Masculino,3,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-06T00:00:00.000,lunes,1899-12-31T14:45:00.000,Masculino,3,Atraco,Arma de fuego,Motocicleta,Motocicleta,Sin dato,Hurto a Personas
2014-01-06T00:00:00.000,lunes,1899-12-31T14:30:00.000,Masculino,1,Violación cerraduras,Sin empleo de arma,A pie,Sin dato,Sin dato,Hurto a Residencias
2014-01-06T00:00:00.000,lunes,1899-12-31T17:00:00.000,Sin dato,4,Factor de oportunidad,Sin empleo de arma,Motocicleta,A pie,Sin dato,Hurto a comercio
2014-01-06T00:00:00.000,lunes,1899-12-31T08:00:00.000,Sin dato,4,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a comercio
2014-01-07T00:00:00.000,martes,1899-12-31T15:00:00.000,Femenino,1,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-07T00:00:00.000,martes,1899-12-31T09:00:00.000,Femenino,10,Simulando necesidad,Sin empleo de arma,Motocicleta,A pie,Sin dato,Hurto a Personas
2014-01-07T00:00:00.000,martes,1899-12-31T10:40:00.000,Femenino,1,Atraco,Arma blanca,Motocicleta,A pie,Sin dato,Hurto a Personas
2014-01-07T00:00:00.000,martes,1899-12-31T20:40:00.000,Masculino,7,Atraco,Arma de fuego,A pie,Motocicleta,Sin dato,Hurto de motos
2014-01-07T00:00:00.000,martes,1899-12-31T21:00:00.000,Masculino,1,Halado,Llave maestra,A pie,Motocicleta,Sin dato,Hurto de motos
2014-01-07T00:00:00.000,martes,1899-12-31T00:00:00.000,Masculino,6,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-07T00:00:00.000,martes,1899-12-31T10:00:00.000,Masculino,5,Factor de oportunidad,Sin empleo de arma,A pie,Bicicleta,Sin dato,Hurto a Personas
2014-01-07T00:00:00.000,martes,1899-12-31T02:30:00.000,Sin dato,4,Ventosa,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a comercio
2014-01-07T00:00:00.000,martes,1899-12-31T11:00:00.000,Sin dato,1,Atraco,Arma de fuego,A pie,A pie,Sin dato,Hurto a comercio
2014-01-08T00:00:00.000,miércoles,1899-12-31T18:20:00.000,Femenino,4,Raponazo,Sin empleo de arma,Motocicleta,Vehículo,Sin dato,Hurto a Personas
2014-01-08T00:00:00.000,miércoles,1899-12-31T18:45:00.000,Femenino,2,Raponazo,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-08T00:00:00.000,miércoles,1899-12-31T10:30:00.000,Femenino,5,Atraco,Arma de fuego,Motocicleta,Vehículo,Sin dato,Hurto a Personas
2014-01-08T00:00:00.000,miércoles,1899-12-31T11:45:00.000,Femenino,5,Atraco,Arma de fuego,Motocicleta,A pie,Sin dato,Hurto a Personas
2014-01-08T00:00:00.000,miércoles,1899-12-31T11:00:00.000,Femenino,4,Paquete chileno,Arma de fuego,A pie,A pie,Sin dato,Hurto a Personas
2014-01-08T00:00:00.000,miércoles,1899-12-31T14:45:00.000,Masculino,4,Raponazo,Sin empleo de arma,Motocicleta,Sin dato,Sin dato,Hurto a Personas
2014-01-08T00:00:00.000,miércoles,1899-12-31T04:00:00.000,Sin dato,4,Ventosa,Contundente,A pie,Sin dato,Sin dato,Hurto a comercio
2014-01-08T00:00:00.000,miércoles,1899-12-31T20:00:00.000,Sin dato,9,Violación cerraduras,Contundente,A pie,A pie,Sin dato,Hurto a comercio
2014-01-09T00:00:00.000,jueves,1899-12-31T12:30:00.000,Femenino,2,Atraco,Arma de fuego,Motocicleta,Vehículo,Sin dato,Hurto a Personas
2014-01-09T00:00:00.000,jueves,1899-12-31T02:00:00.000,Femenino,6,Llave maestra,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-09T00:00:00.000,jueves,1899-12-31T14:05:00.000,Masculino,8,Atraco,Arma blanca,A pie,A pie,Sin dato,Hurto a Personas
2014-01-09T00:00:00.000,jueves,1899-12-31T14:30:00.000,Masculino,3,Raponazo,Sin dato,Motocicleta,A pie,Sin dato,Hurto a Personas
2014-01-09T00:00:00.000,jueves,1899-12-31T11:30:00.000,Masculino,9,Atraco,Arma de fuego,Motocicleta,A pie,Sin dato,Hurto a Personas
2014-01-09T00:00:00.000,jueves,1899-12-31T00:00:00.000,Masculino,10,Violación cerraduras,Contundente,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-10T00:00:00.000,viernes,1899-12-31T00:00:00.000,Femenino,4,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-10T00:00:00.000,viernes,1899-12-31T16:00:00.000,Femenino,4,Atraco,Arma de fuego,Motocicleta,Vehículo,Sin dato,Hurto a Personas
2014-01-10T00:00:00.000,viernes,1899-12-31T10:30:00.000,Femenino,10,Escopolaminado,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-10T00:00:00.000,viernes,1899-12-31T10:45:00.000,Femenino,2,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-10T00:00:00.000,viernes,1899-12-31T10:30:00.000,Masculino,4,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-10T00:00:00.000,viernes,1899-12-31T11:45:00.000,Masculino,2,Atraco,Arma blanca,A pie,Bicicleta,Sin dato,Hurto a Personas
2014-01-10T00:00:00.000,viernes,1899-12-31T11:00:00.000,Masculino,6,Suplantación empresa servicios,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-10T00:00:00.000,viernes,1899-12-31T22:05:00.000,Masculino,2,Violación cerraduras,Sin empleo de arma,Taxi,A pie,Sin dato,Hurto a Residencias
2014-01-10T00:00:00.000,viernes,1899-12-31T09:00:00.000,Sin dato,4,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a comercio
2014-01-11T00:00:00.000,sábado,1899-12-31T15:17:00.000,Femenino,2,Cosquilleo,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-11T00:00:00.000,sábado,1899-12-31T19:30:00.000,Femenino,2,Raponazo,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-11T00:00:00.000,sábado,1899-12-31T07:05:00.000,Femenino,1,Llave maestra,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-11T00:00:00.000,sábado,1899-12-31T00:00:00.000,Femenino,1,Llave maestra,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-11T00:00:00.000,sábado,1899-12-31T00:00:00.000,Masculino,6,Atraco,Arma de fuego,Motocicleta,Motocicleta,Sin dato,Hurto de motos
2014-01-11T00:00:00.000,sábado,1899-12-31T16:30:00.000,Masculino,4,Raponazo,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-11T00:00:00.000,sábado,1899-12-31T23:35:00.000,Masculino,1,Atraco,Arma blanca,A pie,A pie,Sin dato,Hurto a Personas
2014-01-11T00:00:00.000,sábado,1899-12-31T11:30:00.000,Masculino,1,Atraco,Arma blanca,Motocicleta,A pie,Sin dato,Hurto a Personas
2014-01-11T00:00:00.000,sábado,1899-12-31T03:00:00.000,Masculino,5,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-12T00:00:00.000,domingo,1899-12-31T18:00:00.000,Femenino,5,Ventosa,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-12T00:00:00.000,domingo,1899-12-31T12:05:00.000,Femenino,6,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-12T00:00:00.000,domingo,1899-12-31T17:45:00.000,Masculino,6,Atraco,Arma de fuego,Motocicleta,A pie,Sin dato,Hurto a Personas
2014-01-12T00:00:00.000,domingo,1899-12-31T08:00:00.000,Masculino,Corregimiento Fortalecillas,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-12T00:00:00.000,domingo,1899-12-31T10:00:00.000,Masculino,1,Violación cerraduras,Contundente,Motocicleta,A pie,Sin dato,Hurto a Residencias
2014-01-12T00:00:00.000,domingo,1899-12-31T19:00:00.000,Masculino,10,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-13T00:00:00.000,lunes,1899-12-31T16:00:00.000,Femenino,4,Raponazo,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-13T00:00:00.000,lunes,1899-12-31T07:00:00.000,Femenino,1,Raponazo,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-13T00:00:00.000,lunes,1899-12-31T13:35:00.000,Masculino,4,Factor de oportunidad,Sin empleo de arma,Motocicleta,Vehículo,Sin dato,Hurto a Personas
2014-01-13T00:00:00.000,lunes,1899-12-31T11:00:00.000,Masculino,4,Raponazo,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-13T00:00:00.000,lunes,1899-12-31T09:55:00.000,Masculino,3,Atraco,Arma de fuego,Motocicleta,Motocicleta,Sin dato,Hurto a Personas
2014-01-14T00:00:00.000,martes,1899-12-31T00:00:00.000,Femenino,4,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-14T00:00:00.000,martes,1899-12-31T17:50:00.000,Femenino,2,Raponazo,Sin empleo de arma,Motocicleta,A pie,Sin dato,Hurto a Personas
2014-01-14T00:00:00.000,martes,1899-12-31T16:00:00.000,Femenino,6,Raponazo,Sin empleo de arma,Motocicleta,Motocicleta,Sin dato,Hurto a Personas
2014-01-14T00:00:00.000,martes,1899-12-31T19:50:00.000,Femenino,6,Raponazo,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-14T00:00:00.000,martes,1899-12-31T11:00:00.000,Femenino,4,Raponazo,Sin empleo de arma,Motocicleta,A pie,Sin dato,Hurto a Personas
2014-01-14T00:00:00.000,martes,1899-12-31T17:55:00.000,Masculino,8,Atraco,Arma blanca,A pie,A pie,Sin dato,Hurto a Personas
2014-01-14T00:00:00.000,martes,1899-12-31T12:00:00.000,Masculino,1,Factor de oportunidad,Sin empleo de arma,A pie,Vehículo,Sin dato,Hurto a Personas
2014-01-14T00:00:00.000,martes,1899-12-31T19:00:00.000,Masculino,3,Violación cerraduras,Contundente,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-15T00:00:00.000,miércoles,1899-12-31T16:40:00.000,Femenino,7,Raponazo,Sin empleo de arma,Motocicleta,Sin dato,Sin dato,Hurto a Personas
2014-01-15T00:00:00.000,miércoles,1899-12-31T12:00:00.000,Femenino,1,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-15T00:00:00.000,miércoles,1899-12-31T09:00:00.000,Femenino,1,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-15T00:00:00.000,miércoles,1899-12-31T08:10:00.000,Femenino,3,Llave maestra,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-15T00:00:00.000,miércoles,1899-12-31T11:31:00.000,Masculino,2,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-15T00:00:00.000,miércoles,1899-12-31T10:00:00.000,Sin dato,5,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a comercio
2014-01-16T00:00:00.000,jueves,1899-12-31T00:00:00.000,Masculino,10,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-16T00:00:00.000,jueves,1899-12-31T11:00:00.000,Masculino,6,Engaño,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-17T00:00:00.000,viernes,1899-12-31T13:50:00.000,Femenino,10,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-17T00:00:00.000,viernes,1899-12-31T18:00:00.000,Femenino,4,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-17T00:00:00.000,viernes,1899-12-31T18:25:00.000,Femenino,2,Cosquilleo,Sin dato,A pie,A pie,Sin dato,Hurto a Personas
2014-01-17T00:00:00.000,viernes,1899-12-31T19:00:00.000,Femenino,9,Violación cerraduras,Sin dato,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-17T00:00:00.000,viernes,1899-12-31T10:30:00.000,Masculino,4,Atraco,Arma blanca,A pie,A pie,Sin dato,Hurto a Personas
2014-01-17T00:00:00.000,viernes,1899-12-31T11:30:00.000,Masculino,10,Violación cerraduras,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-17T00:00:00.000,viernes,1899-12-31T00:00:00.000,Sin dato,Corregimiento Río Las Ceibas,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a comercio
2014-01-17T00:00:00.000,viernes,1899-12-31T10:00:00.000,Sin dato,4,Engaño,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a comercio
2014-01-17T00:00:00.000,viernes,1899-12-31T11:10:00.000,Sin dato,4,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a comercio
2014-01-18T00:00:00.000,sábado,1899-12-31T17:00:00.000,Femenino,2,Raponazo,Sin dato,Motocicleta,Motocicleta,Sin dato,Hurto a Personas
2014-01-18T00:00:00.000,sábado,1899-12-31T23:20:00.000,Femenino,5,Atraco,Sin dato,Vehículo,A pie,Sin dato,Hurto a Residencias
2014-01-18T00:00:00.000,sábado,1899-12-31T12:00:00.000,Femenino,2,Violación cerraduras,Sin dato,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-18T00:00:00.000,sábado,1899-12-31T00:00:00.000,Masculino,10,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-18T00:00:00.000,sábado,1899-12-31T00:00:00.000,Masculino,1,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-18T00:00:00.000,sábado,1899-12-31T00:00:00.000,Sin dato,6,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a comercio
2014-01-19T00:00:00.000,domingo,1899-12-31T00:00:00.000,Femenino,1,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-19T00:00:00.000,domingo,1899-12-31T04:00:00.000,Femenino,3,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-19T00:00:00.000,domingo,1899-12-31T19:45:00.000,Masculino,10,Halado,Llave maestra,A pie,Motocicleta,Sin dato,Hurto de motos
2014-01-19T00:00:00.000,domingo,1899-12-31T16:00:00.000,Masculino,6,Cosquilleo,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-19T00:00:00.000,domingo,1899-12-31T06:30:00.000,Masculino,4,Factor de oportunidad,Sin empleo de arma,A pie,Vehículo,Sin dato,Hurto a Personas
2014-01-20T00:00:00.000,lunes,1899-12-31T00:00:00.000,Femenino,4,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-20T00:00:00.000,lunes,1899-12-31T15:30:00.000,Femenino,7,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-20T00:00:00.000,lunes,1899-12-31T00:00:00.000,Masculino,5,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-20T00:00:00.000,lunes,1899-12-31T00:00:00.000,Masculino,6,Factor de oportunidad,Arma blanca,A pie,A pie,Sin dato,Hurto a Personas
2014-01-20T00:00:00.000,lunes,1899-12-31T13:30:00.000,Masculino,7,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-20T00:00:00.000,lunes,1899-12-31T19:00:00.000,Sin dato,2,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a comercio
2014-01-21T00:00:00.000,martes,1899-12-31T13:30:00.000,Femenino,4,Engaño,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-21T00:00:00.000,martes,1899-12-31T00:00:00.000,Femenino,1,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-21T00:00:00.000,martes,1899-12-31T04:45:00.000,Masculino,7,Atraco,Arma blanca,A pie,A pie,Sin dato,Hurto a Personas
2014-01-21T00:00:00.000,martes,1899-12-31T12:20:00.000,Masculino,4,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-21T00:00:00.000,martes,1899-12-31T18:50:00.000,Masculino,5,Llamada millonaria,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-22T00:00:00.000,miércoles,1899-12-31T20:30:00.000,Femenino,9,Atraco,Arma blanca,A pie,A pie,Sin dato,Hurto a Personas
2014-01-22T00:00:00.000,miércoles,1899-12-31T19:00:00.000,Femenino,7,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-22T00:00:00.000,miércoles,1899-12-31T18:45:00.000,Femenino,3,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-22T00:00:00.000,miércoles,1899-12-31T10:51:00.000,Femenino,4,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-22T00:00:00.000,miércoles,1899-12-31T00:00:00.000,Masculino,4,Atraco,Arma blanca,Motocicleta,Motocicleta,Sin dato,Hurto a Personas
2014-01-22T00:00:00.000,miércoles,1899-12-31T00:00:00.000,Masculino,2,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-22T00:00:00.000,miércoles,1899-12-31T00:00:00.000,Masculino,2,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-23T00:00:00.000,jueves,1899-12-31T16:50:00.000,Femenino,5,Raponazo,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-23T00:00:00.000,jueves,1899-12-31T14:30:00.000,Femenino,4,Engaño,Sin empleo de arma,Motocicleta,Motocicleta,Sin dato,Hurto a Personas
2014-01-23T00:00:00.000,jueves,1899-12-31T15:30:00.000,Femenino,6,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-23T00:00:00.000,jueves,1899-12-31T07:05:00.000,Femenino,5,Factor de oportunidad,Sin empleo de arma,A pie,Sin dato,Sin dato,Hurto a Residencias
2014-01-23T00:00:00.000,jueves,1899-12-31T20:00:00.000,Masculino,4,Atraco,Arma de fuego,Motocicleta,Motocicleta,Sin dato,Hurto de motos
2014-01-23T00:00:00.000,jueves,1899-12-31T21:40:00.000,Masculino,2,Atraco,Arma de fuego,Motocicleta,Motocicleta,Sin dato,Hurto de motos
2014-01-23T00:00:00.000,jueves,1899-12-31T00:00:00.000,Masculino,10,Factor de oportunidad,Sin empleo de arma,A pie,Sin dato,Sin dato,Hurto a Personas
2014-01-23T00:00:00.000,jueves,1899-12-31T18:30:00.000,Masculino,4,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-23T00:00:00.000,jueves,1899-12-31T21:40:00.000,Masculino,2,Atraco,Arma de fuego,Motocicleta,Motocicleta,Sin dato,Hurto a Personas
2014-01-23T00:00:00.000,jueves,1899-12-31T00:05:00.000,Sin dato,5,Mechero,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a comercio
2014-01-23T00:00:00.000,jueves,1899-12-31T10:40:00.000,Sin dato,3,Mechero,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a comercio
2014-01-24T00:00:00.000,viernes,1899-12-31T10:00:00.000,Femenino,7,Halado,Contundente,A pie,Motocicleta,Sin dato,Hurto de motos
2014-01-24T00:00:00.000,viernes,1899-12-31T21:00:00.000,Femenino,3,Halado,Llave maestra,A pie,Motocicleta,Sin dato,Hurto de motos
2014-01-24T00:00:00.000,viernes,1899-12-31T00:00:00.000,Femenino,6,Atraco,Arma de fuego,Motocicleta,A pie,Sin dato,Hurto a Personas
2014-01-24T00:00:00.000,viernes,1899-12-31T18:40:00.000,Femenino,8,Raponazo,Sin empleo de arma,Taxi,A pie,Sin dato,Hurto a Personas
2014-01-24T00:00:00.000,viernes,1899-12-31T07:30:00.000,Femenino,5,Factor de oportunidad,Arma blanca,A pie,A pie,Sin dato,Hurto a Personas
2014-01-24T00:00:00.000,viernes,1899-12-31T19:40:00.000,Femenino,5,Llave maestra,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Residencias
2014-01-24T00:00:00.000,viernes,1899-12-31T12:20:00.000,Masculino,6,Atraco,Arma de fuego,Motocicleta,Motocicleta,Sin dato,Hurto de motos
2014-01-24T00:00:00.000,viernes,1899-12-31T12:20:00.000,Masculino,6,Atraco,Arma de fuego,Motocicleta,Motocicleta,Sin dato,Hurto a Personas
2014-01-24T00:00:00.000,viernes,1899-12-31T10:30:00.000,Masculino,4,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-24T00:00:00.000,viernes,1899-12-31T11:15:00.000,Masculino,4,Atraco,Arma de fuego,Motocicleta,Motocicleta,Sin dato,Hurto a Personas
2014-01-25T00:00:00.000,sábado,1899-12-31T15:00:00.000,Femenino,4,Raponazo,Sin empleo de arma,Motocicleta,A pie,Sin dato,Hurto a Personas
2014-01-25T00:00:00.000,sábado,1899-12-31T10:31:00.000,Masculino,3,Atraco,Arma de fuego,Motocicleta,A pie,Sin dato,Hurto a Personas
